,founder,event_count,follow_count,fan_count
374,天才麻瓜少年,2233,667,4838
375,星际怪客-艾斯卡尔和佐培尔,7,16,58
376,周二下午八点,5,257,494
377,Tao-YuUp,2,61,68
378,仙女爱吃香菜_,0.01,4,27
379,百事可乐中国董事,1,8,1824
381,用户2130026413,13,193,224
382,一个酷爱听歌的骚年,3,31,27697
383,与银河对视,1034,12,29335
384,WZy_Bi,4,42,706
385,若水玖惜,1,647,41
386,白净亭,301,22,88262
387,原来网易云的名字真的可以超级长,24,16,148
388,pop-out,8,18,51
389,Charlie_Puth资讯,4030,169,15469
390,儒雅随和LILITI,53,282,99
391,PSYKE_MUSIC,57,9,5019
392,K-O-R,132,21,3256
393,爱吃栗子的fairy_,8,0.01,57
394,黄子韬是底线biepeng,0.01,0.01,51
395,luckyboy周大发,2,80,11473
396,翠花花呀,61,69,219
397,DjFoRRay,10,704,941
398,臣服温柔_SUGA,0.01,57,504
399,FeverJ,4574,259,5277
400,帐号已注销,20,105,893
401,芦娃还是小学生,13,29,18
402,草右山一几,0.01,16,102
403,welphenEDM,11430,670,835307
404,Flowing-light-years,1,24,27
405,请你一直开心,221,54,586
406,子沫M,165,98,1590
407,小福贵咖啡RICHIE,114,13,941
408,RYON-JAY,70,348,1043
409,Wanune,6,1,570
410,风之君临,5146,100,23013
411,梦梦超努力,0.01,21,44
412,_今夜月亮邮递员_,0.01,17,29
413,听说你在等风起,2,2,84
414,花花甜莓日系,0.01,49,54
415,曲库小护士,155,257,147137
416,薛定谔的缝纫机,646,157,50339
417,拓荒者2015,196,295,90
418,shu舒克_,1,43,554
419,杂七杂八_NXC,0.01,67,22
420,冷艳争春喜烂然,453,395,82
421,仍未飘落的雪,165,75,170
422,zhaoshuya-,0.01,3,43
423,OKeith,212,106,1065
424,你也不曾忘记吗,0.01,50,23
425,Ferhat吸血鬼,16,1,2315
426,AOSAEK,3,42,44
427,鹿白川,863,24,128416
428,霓虹小知音Nihonico,55,126,6139
429,江辞超nice,1,2,14
430,君若一盏清茗,85,34,1520
431,錦篞学妹,10,34,50
432,intropinrevivan,9,24,7933
433,来大碗香菜,0.01,69,37
434,欢酹,40,43,4414
435,Kolerchn-,74,94,1605
436,菠菜含有铁,4,9,9
437,Enwar-722,29,519,1748
438,-----Vincent----,190,10,78
439,正在数月亮,84,103,47
440,岛屿Soliloquy,585,125,19406
441,5938ruzi,119,297,82
442,Bzstrive,27,72,3499
443,ARMyphoria伊柾,867,55,1417
444,Jo太_,0.01,64,14720
445,恨禁,36,1,4732
446,初萌子,91,185,457
447,Slim_Dyane,14,33,2012
448,苏奕杰,56,25,10931
449,阿麟等佩奇的爱,0.01,13,29
450,喜欢处女座的说唱歌手-孟琦,28,74,3499
451,柯迪基柯,14,4,113917
452,清晨丢了,5,29,481
453,Unexplainable,686,289,4673
454,高呗,0.01,19,58
455,Junopple,14,19,68
456,Sanubar_Tursun,11,40,22363
457,RNG子轩,17,45,21
458,攀狼Sir,3,16,643
459,小调调DT,4,5,35
460,ChokeWhale,546,152,4663
462,安瑟尔ii,90,17,909
463,lilcool19,0.01,4,78
464,Fu疯狂犯罪ck光哥,22,3,29
465,gioanna,24,73,195
466,Yxxxi_,0.01,77,33
467,性案,0.01,0.01,763
468,卡哇伊哦a,17,4,92444
469,薄荷猫晒太阳,716,291,14752
470,亟待解决66,116,113,299
471,minnn1801,3,67,100
472,lyovte,3,22,12
473,叶逐天,71,1284,6869
474,Pistazien,572,69,14738
475,红毛要九_biu,407,21,1064
476,TExxv,11,62,2001
477,ZONEWEE,4,7,35
478,飞行棋的猫mor,75,11,6052
479,Z-Y-04,0.01,1,20
480,Blue_sky_smile,2,4,6
481,AJklf,0.01,1,54
482,Aa丶冰雪碧,0.01,11,4
483,叶航成女友粉,2,34,28
484,Ablajan-Awut-Ayup-专享营,12,3,268
485,萌娘Max,89,593,1327
486,GdistanceY,3,8,23
487,有容01,19,27,258
488,ServerHeng,47,223,61
489,海岛度假Santorini,3658,297,39210
490,AK爱小妹妹,0.01,1,11
491,alim_721,4,0.01,54
492,林寒叶,1,4,21
493,S安奕,0.01,45,44
494,fffffeb,9,11,30
495,babeejoey,18,72,47
496,消逝的洛依成,0.01,38,3055
497,铺垫先生,245,131,547
498,愿唯_VdmR,1,15,22
499,流云薇眠0114,9,0.01,41
500,临l城,9,33,46
501,G-DRAGON--_-,1,38,17
502,是耀温顺,67,7,147112
503,PB火云,2,40,29
504,荞荞荞麦面,1,30,12
505,JazzLove,10,34,2839
506,是月月哦QWQ,10,16,1031
507,一桶热可可,82,58,946
508,NiezzZzzz,1,9,483
509,Vincent梵高先生,8,9,42
510,老爹揍扁了阿福,9,144,29
511,华晨宇全球歌迷会,491,8,58289
512,四季里的懒睡猫,1,13,6040
513,我们再重蹈覆辙好不好Re,0.01,18,253
514,MARIA-HILFT,8,45,26
515,雨秋-昴子,196,156,2594
516,别忘Ctrl-s,13,39,47
517,蘼桜,228,23,5409
518,只是一只小猫咪x,13,30,33
519,真咸鱼饼干,2,22,917
520,烟雾男孩Smogboy,6,148,155
521,c17869,0.01,2,95
522,熊肉日记,20,39,56
523,黑马音乐秀,17,28,909
524,lovzeros,12,21,706
525,Whas_up,5,17,132
526,Kesha_EDM,320,286,1324
527,SCARBOIT,0.01,124,34
528,qhostbaby,2,4,31
529,HolyGrail98888,81,1,9571
530,Deosi,18,1,31
531,JoeyKim,1,3,14
532,l友人B,124,31,1421
533,车车车车车车贤啊,11,4,21
534,大锤Hammer,0.01,35,674
535,CallMeProphet,47,16,674
536,NULL-DreamKiller,126,75,168
537,炸肉,5,59,18
538,jens_peter,26,58,15
539,奇怪的猫先生,1,39,5
540,FunYH-,4,14,54
541,舒芙蕾蕾蕾,3,2,3
542,munjeongyi,2,21,4
543,少女掠夺哈_木马,29,143,170
544,天神院院长,8197,388,5153
545,娇娇-HY,2,16,29
546,帅的SHT,12,36,814
547,月亮解忧店,402,172,23019
548,不弧,1,1,4251
549,Aimee_玉儿,0.01,4,2
550,Tetraethyl-lead,0.01,20,9
551,芣婹谁唻怜惜,0.01,12,25
552,SanderVanDoorn,61,91,3664
553,玫lin,10,46,8
554,Ekko-7,429,279,6004
555,謬湝,17,16,8
556,我爱洗澡我爱洗澡我爱洗澡,0.01,18,13
557,ks搜索还在,0.01,6,16
558,养猪的小王啊,1,8,34
559,landsa,4,2,23
560,和你漫入银河,14,175,360
561,鲸落遇鹿,1,95,74
562,是喪尸,233,28,8111
563,你的顾柒柒_cc,75,144,3037
564,梦芙,7,8,44
565,亏普,2806,104,20212
566,Munisa_Rizaeva,28,529,28687
567,_南鸽先生_,19,3,275
568,今天和猪蹄一起玩,0.01,7,168
569,良人眷属,0.01,10,10
570,HSY凪,1,8,352
571,COAST_MUSIC,349,2,8171
572,COSMIC_DREAM,8,8,5028
573,笑脸是悲伤的面纱C,15,10,376
574,Crime-Angel,32,57,29
575,实习秧歌巨星,0.01,9,9
576,GOCHEN4L,13,11,19
577,雪村透,2149,17,1721
578,快乐收藏音乐者,8,45,50
579,DJRIBBIT,1,60,39
580,肆爷宝贝,7,93,13
581,feisihnglaai,2,96,575
582,浮梵闪亮亮,2,13,8
583,江辉巨,0.01,3,0.01
584,到达终点,128,3,2
585,Rhaast,14,33,2181
586,我要逃学威龙,21,54,1138
587,蚕豆音乐娘,25,56,17309
588,小新星爱听歌,66,5,91
589,xxxwizkhalifa,4,36,28
590,附窗子酱,6,57,34
591,葬月飘零Dovah,7,29,85
592,Aelief-东宫,4,27,215
593,Dessen_58,2,5,16
594,HarkingZhong,34,30,2949
595,Lauv,386,10,880139
596,我有一堆好歌单,7,49,62
597,艺术是人优质魅力的体现,2,20,35
598,空虚小编,1951,408,273964
599,刘墨言啊,0.01,1,9
600,IrvingBrooklyn,15,11,26
601,小魏阿丶,0.01,34,20
602,郑帝元的宝贝贝,0.01,111,6
603,大刘在网易云避难,2,47,36
604,环球音乐国际部,1424,78,268953
605,斯布雷德,1,51,37
606,小米渣吖吖,1,18,24
607,珩萧雨溪,42,339,449
608,HelloVampire0,33,51,127
609,不着棋,13,28,33
610,尽力局jfx,0.01,0.01,19
611,陌涵Moan,63,15,1609
612,秋刀鱼爱起司猫,0.01,20,8
613,高旻老公,44,43,16799
614,-弘木-,150,666,2799
615,云村看门大爷,0.01,29,11
616,墨汁r,4,19,48
617,Ezekielzz,4,30,83
618,吴小夫夫夫,1,0.01,51
619,EVILD0G,1,8,1503
620,翩然而至x,6,31,19
621,KID_tilXLHI,5,15,385
622,BilalEnwer,117,48,216310
623,WLU-Sunny,65,2,337
624,mirror镜子先生,18,34,405
625,掌上Club,5,1,51470
626,是阿辞辞啊,0.01,21,125
627,K1star_,0.01,148,610
628,李尸僵,93,70,71
629,死後長眠,0.01,3,110
630,常住在黑名单,0.01,8,11
631,Jermyn-y,6,27,88
632,Anwar-Turak,14,8,815
633,诺七ya,0.01,1,15
634,苦口师kks,0.01,3,41
635,咖啡影音,90,7,28454
636,fragilefairy,140,35,90
637,在山,2,4,123
638,甲鱼cjy,0.01,9,15
639,钉钉_cF,0.01,4,3
640,Nicole稚子,2,47,79
641,温柔的玖,0.01,1,41
642,浪琴表Longines,0.01,3,12
643,北方易先生,368,0.01,29128
644,刘路遥小朋友,0.01,6,25
645,杰希不会Outoftune,0.01,3,368
646,我最近又膨胀了,61,50,344
647,Jesse-Qian,395,22,224
648,BeerBadBlood,20,53,3579
649,KIRIN_Music,242,50,4174
650,csthinking,2,25,18
651,一只小菠萝__,15,12,30
652,辽宁运气之王,15,8,731
653,没错我是蒋印钲Chiang_,4,44,72
654,AsuraZ,1,10,14
655,亦七r,0.01,1,8
656,决劣,34,0.01,5345
657,张林白,0.01,3,3
658,这首歌让我感到陶醉,0.01,0.01,16
659,Screensho,1,25,10
660,每天过得都像复制粘贴般,7,41,218
661,TrapTV,659,0.01,6949
662,约翰谢尔比A,2,2,91
663,ChenGa陈嘎,0.01,17,12
664,jueldz,0.01,17,35
665,chen__AORQ,0.01,3,0.01
666,飞船集团,2,3,1
667,LunarTinSau,0.01,8,365
668,言鸿_,2,16,15
669,小小的世界66,12,5,1135
670,天黑见,3,9,308
671,HGrand,36,65,1914
672,余生xiaozhan,0.01,73,181
673,Cover城南花已开,0.01,8,133
674,今天雷雨大风4-5级,24,6,5
675,斑马小说家,0.01,20,8
676,李雨科-lyk,13,10,1
677,puppy的士高,77,22,324
678,送酒十五,27,21,728
679,清风ikk,0.01,19,62
680,西柚_,803,75,41425
681,戴墨镜的白眼狼,0.01,3,14
682,莫离-Nice,4,16,1507
683,曦曦追燃记,0.01,2,3
684,桑乔维塞,1,10,9
685,九歌南辞,0.01,0.01,7
686,ConorMcGregor6666,1,17,14
687,折耳月,75,49,254
688,uglywhenIcry,1,41,1201
689,隐嫟,0.01,1,2791
690,VxxxMusika,2,2,2
691,Ormars,26,4,505
692,Kingdown133,0.01,3,31
693,天生我儿必可爱,160,71,22
694,不为你MM,35,3,342
695,吴非遥,1,3,4
696,Kalen邱志凯,15,66,1582
697,LovdX,0.01,6,1062
698,划破天空的归鸟NA,15,43,7
699,祝己年少有为,19,12,967
700,SLDesign,28,8,1576
701,国服第一AD西,2,6,2097
702,密罗洲,84,178,174
703,R1SE-何洛洛,1,0.01,1100
704,华纳音乐国际,684,66,13218
705,想和你捞月亮,1,112,11
706,杀杀玩,6,66,24
707,Nerdynuts,6,26,93
708,AliKiroran艾力楼兰,2184,45,10685
709,MarshmelloMusic,847,8,1313873
710,TAI乐之声,0.01,3,51
711,BIAO丶ET,21,2,9
712,瘦子那么多为什么就不能是我呢,0.01,2,7
713,京东,1,0.01,74
714,分裂小丑在哥谭等你,204,2000,165
715,一里秋和,0.01,3,12
716,极致动听,30,86,97
717,我想到重建星空的可能,23,10,199
718,_xCaG,7,1,165
719,密斯特温,21,177,10156
720,废弃谷倉io,13,61,66
721,夏日小熊糖,5,11,141
722,libinhao-,1,10,130
723,pudding嘟,0.01,8,14
724,_swbl_,16,10,18
725,神奇的闪电猫,2,12,10
726,呐彭七岁呐,14,66,639
727,阿帅困辽,2,3,112
728,孙宇瑶Grasheyl外加一个小樱桃,26,115,703
729,eStar丶Ser,76,2,92
730,Softpi,0.01,7,10
731,Yxxxx鸭,0.01,2,39
732,SkrXun,1,41,106
733,某科学的魔法禁书目录,17,73,262
734,说唱HIPHOP,171,0.01,5644
735,TooSweet-,24,26,6
736,棕鹿与独角兽,40,24,4801
737,GUSTOM_,12,273,49
738,君顾者,0.01,12,17
739,金陽先生,15,18,140
740,Barbell_is_Medicine,4,50,13
741,O-5议会,28,1999,269
742,拉入深渊,0.01,2,3
743,采薇采薇w,6,114,37
744,是大大_呀,21,42,1016
745,Linskual,0.01,12,114
746,游研社官方,38,3,4176
747,--_-_-_-_-_-,229,80,81
748,关月风_CBJ,13,2,3274
749,sonofsunofs,618,344,539
750,衾琳儿,11,13,112
751,后期混音找killerJ,79,151,2004
752,你的名字挺奇怪,30,6,7
753,yeyiiiii,12,60,20
754,Refl_Official,5,43,700
